numero,R_llegada,tiempo_entre_llegadas,hora_llegada,R_proc,tiempo_proc,hora_salida,tiempo_espera,tiempo_en_sistema
47,0.5933,1.0441102114350789,77.62465541505796,0.5199,1.5679100000000001,83.1919089843505,3.9993435692925488,5.5672535692925464
48,0.9341,0.13634356020666796,77.76099897526463,0.6358,1.6722200000000003,84.8641289843505,5.430910009085878,7.1031300090858736
49,0.1782,3.4496975278908564,81.21069650315549,0.7472,1.77248,86.6366089843505,3.6534324811950114,5.425912481195013
50,0.3473,2.1151326384642175,83.3258291416197,0.8954,1.90586,88.5424689843505,3.3107798427307955,5.2166398427308
51,0.5644,1.143984118006956,84.46981325962666,0.3529,1.41761,89.9600789843505,4.072655724723845,5.490265724723841
52,0.0589,5.663828376649192,90.13364163627585,0.3646,1.42814,91.56178163627585,0.0,1.428139999999999
53,0.6733,0.7911285668618037,90.92477020313765,0.7676,1.7908400000000002,93.35262163627586,0.6370114331381984,2.4278514331382013
54,0.4799,1.4683550602358744,92.39312526337353,0.8931,1.90379,95.25641163627586,0.959496372902322,2.863286372902323
55,0.9486,0.10553613107731144,92.49866139445085,0.3919,1.4527100000000002,96.70912163627585,2.7577502418250077,4.210460241825004
56,0.6139,0.9758464610973728,93.47450785554823,0.7876,1.80884,98.51796163627586,3.234613780727628,5.043453780727631
57,0.5933,1.0441102114350789,94.51861806698331,0.5199,1.5679100000000001,100.08587163627585,3.9993435692925488,5.5672535692925464
58,0.9341,0.13634356020666796,94.65496162718998,0.6358,1.6722200000000003,101.75809163627585,5.430910009085878,7.1031300090858736
59,0.1782,3.4496975278908564,98.10465915508084,0.7472,1.77248,103.53057163627585,3.6534324811950114,5.425912481195013
60,0.3473,2.1151326384642175,100.21979179354506,0.8954,1.90586,105.43643163627586,3.3107798427307955,5.2166398427308
